LIKE_CLASSIC,LIKE_LAU,LIKE_SURVIVOR,FAVOURITE_LARA,CLL_OVERSEX,CLL_OSX_FACE,CLL_OSX_BREASTS,CLL_OSX_WAIST,CLL_OSX_HIPS,CLL_OSX_BEHAVIOUR,CLL_OSX_CLOTHES,CLL_OSX_ARTWORK,CLL_OSX_ADS,CLL_OSX_OTHER,CLASSIC_ATTR,LAU_ATTR,SURVIVOR_ATTR,SEX,ORIENTATION,AGE_GROUP
A lot,Didn't play,Didn't play,Classic,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Other/Doesn't say,Other/Doesn't say,Doesn't say
A lot,Quite a bit,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,25-34
Quite a bit,Quite a bit,Quite a bit,Survivor,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Bisexual,25-34
A lot,Somewhat,A little,Classic,Yes,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,25-34
A lot,A lot,Quite a bit,LAU,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Straight,25-34
A lot,Somewhat,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,25-34
A lot,Quite a bit,A lot,None,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Other/Doesn't say,Gay/Lesbian,25-34
Didn't play,Didn't play,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,18-24
A lot,A lot,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Straight,25-34
A lot,Somewhat,A little,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,25-34
A lot,A lot,Somewhat,LAU,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Male,Bisexual,18-24
A lot,A lot,A lot,Classic,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,18-24
