NAME,AGE,SEX,AFFILIATION,GROUP,POSITION,CLASS,SURVIVED
"Smith, Commander Edward John, RNR",62.0,Male,Crew,Officers,Captain,Not applicable,False
"Wilde, Lieutenant Henry Tingle, RNR",39.0,Male,Crew,Officers,Chief Officer,Not applicable,False
"Murdoch, Lieutenant William McMaster, RNR",39.0,Male,Crew,Officers,First Officer,Not applicable,False
"Lightoller, Sub-Lieutenant Charles Herbert, RNR",38.0,Male,Crew,Officers,Second Officer,Not applicable,True
"Pitman, Mr. Herbert John",34.0,Male,Crew,Officers,Third Officer,Not applicable,True
"Boxhall, Sub-Lieutenant Joseph Groves, RNR",28.0,Male,Crew,Officers,Fourth Officer,Not applicable,True
"Lowe, Sub-Lieutenant Harold Godfrey, RNR",29.0,Male,Crew,Officers,Fifth Officer,Not applicable,True
"Moody, Sub-Lieutenant James Paul, RNR",24.0,Male,Crew,Officers,Sixth Officer,Not applicable,False
"Anderson, Mr. James",40.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Anderson, Mr. John",41.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Archer, Mr. Ernest Edward",36.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Bailey, Mr. Joseph Henry",43.0,Male,Crew,Deck,Master-at-arms,Not applicable,True
"Bradley, Mr. T.",29.0,Male,Crew,Deck,Able Seaman,Not applicable,False
"Brice, Mr. Walter T.",42.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Bright, Mr. Arthur John",41.0,Male,Crew,Deck,Quartermaster,Not applicable,True
"Buley, Mr. Edward John",27.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Clench, Mr. Frederick",34.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Clench, Mr. George James",31.0,Male,Crew,Deck,Able Seaman,Not applicable,False
"Couch, Mr. Frank",28.0,Male,Crew,Deck,Able Seaman,Not applicable,False
"Davis, Mr. Stephen James",39.0,Male,Crew,Deck,Able Seaman,Not applicable,False
"Evans, Mr. Alfred Frank",24.0,Male,Crew,Deck,Lookout,Not applicable,True
"Evans, Mr. Frank Oliver",24.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Fleet, Mr. Frederick",24.0,Male,Crew,Deck,Lookout,Not applicable,True
"Foley, Mr. John",44.0,Male,Crew,Deck,Storekeeper,Not applicable,True
"Forward, Mr. James",27.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Haines, Mr. Albert M.",31.0,Male,Crew,Deck,Boatswain,Not applicable,True
"Harder, Mr. William",39.0,Male,Crew,Deck,Window Cleaner,Not applicable,True
"Hemming, Mr. Samuel Ernest",43.0,Male,Crew,Deck,Lamp Trimmer,Not applicable,True
"Hichens, Mr. Robert",29.0,Male,Crew,Deck,Quartermaster,Not applicable,True
"Hogg, Mr. George Alfred",29.0,Male,Crew,Deck,Lookout,Not applicable,True
"Holman, Mr. Harry",27.0,Male,Crew,Deck,Able Seaman,Not applicable,False
"Hopkins, Mr. Robert John",40.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Horswill, Mr. Albert Edward James",33.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Humphreys, Mr. Sidney James",48.0,Male,Crew,Deck,Quartermaster,Not applicable,True
"Hutchinson, Mr. John Hall",26.0,Male,Crew,Deck,Carpenter/Joiner,Not applicable,False
"Jewell, Mr. Archie",23.0,Male,Crew,Deck,Lookout,Not applicable,True
"Jones, Mr. Thomas William",32.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"King, Mr. Thomas W.",43.0,Male,Crew,Deck,Master-at-arms,Not applicable,False
"Lee, Mr. Reginald Robinson",41.0,Male,Crew,Deck,Lookout,Not applicable,True
"Lucas, Mr. William A.",25.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Lyons, Mr. William Henry[13]",26.0,Male,Crew,Deck,Able Seaman,Not applicable,False
"Matherson, Mr. David",30.0,Male,Crew,Deck,Able Seaman,Not applicable,False
"Mathais, Mr. Montague Vincent",27.0,Male,Crew,Deck,Mess Steward,Not applicable,False
"Maxwell, Mr. John",31.0,Male,Crew,Deck,Carpenter/Joiner,Not applicable,False
"McCarthy, Mr. William",47.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"McGough, Mr. James R.",25.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Moore, Mr. George Alfred",32.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Nichols, Mr. Alfred",42.0,Male,Crew,Deck,Boatswain,Not applicable,False
"O'Loughlin, Dr. William Francis Norman",62.0,Male,Crew,Deck,Surgeon,Not applicable,False
"Olliver, Mr. Alfred",27.0,Male,Crew,Deck,Quartermaster,Not applicable,True
"Osman, Mr. Frank",28.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Pascoe, Mr. Charles H.",43.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Perkis, Mr. Walter John",37.0,Male,Crew,Deck,Quartermaster,Not applicable,True
"Peters, Mr. William Chapman",26.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Poingdestre, Mr. John Thomas",33.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Rowe, Mr. George Thomas",32.0,Male,Crew,Deck,Quartermaster,Not applicable,True
"Sawyer, Mr. Robert James",30.0,Male,Crew,Deck,Window Cleaner,Not applicable,False
"Scarrott, Mr. Joseph George",33.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Simpson, Dr. John Edward",37.0,Male,Crew,Deck,Assistant Surgeon,Not applicable,False
"Smith, Mr. William",26.0,Male,Crew,Deck,Able Seaman,Not applicable,False
"Symons, Mr. George Thomas Macdonald",24.0,Male,Crew,Deck,Lookout,Not applicable,True
"Tamlyn, Mr. Frederick",23.0,Male,Crew,Deck,Mess Steward,Not applicable,False
"Taylor, Mr. C.",35.0,Male,Crew,Deck,Able Seaman,Not applicable,False
"Terrell, Mr. Bertram",20.0,Male,Crew,Deck,Able Seaman,Not applicable,False
"Vigott, Mr. Philip Francis",32.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Weller, Mr. William Clifford",30.0,Male,Crew,Deck,Able Seaman,Not applicable,True
"Wynn, Mr. Walter",41.0,Male,Crew,Deck,Quartermaster,Not applicable,True
"Abrams, Mr. William",33.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Adams, Mr. R.",26.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Allen, Mr. Henry",32.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Allen, Mr. Ernest Frederick",24.0,Male,Crew,Engineering,Trimmer,Not applicable,True
"Allsop, Mr. Alfred Samuel",34.0,Male,Crew,Engineering,Electrician,Not applicable,False
"Avery, Mr. James Frank",22.0,Male,Crew,Engineering,Trimmer,Not applicable,True
"Bailey, Mr. George W.",46.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Baines, Mr. Richard",24.0,Male,Crew,Engineering,Greaser,Not applicable,False
"Bannon, Mr. John",32.0,Male,Crew,Engineering,Greaser,Not applicable,False
"Barlow, Mr. Charles",30.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Barnes, Mr. Charles",29.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Barnes, Mr. Frederick",29.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Barrett, Mr. Frederick",28.0,Male,Crew,Engineering,Leading Fireman,Not applicable,True
"Barrett, Mr. Frederick William",33.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Beattie, Mr. Joseph",34.0,Male,Crew,Engineering,Greaser,Not applicable,False
"Beauchamp, Mr. George William",24.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
"Bell, Mr. Joseph",50.0,Male,Crew,Engineering,Chief Engineer,Not applicable,False
"Bendell, Mr. F.",24.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Bennett, Mr. George Alfred",30.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Benville, Mr. E.",42.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Bessant, Mr. William Edward",39.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Bevis, Mr. Joseph Henry",22.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Biddlecombe, Mr. Charles",33.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Biggs, Mr. Edward Charles",21.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Billow, Mr. J.",20.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Binstead, Mr. Walter",19.0,Male,Crew,Engineering,Trimmer,Not applicable,True
"Black, Mr. Alexander",28.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Black, Mr. D.",41.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Blackman, Mr. H.",24.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Blake, Mr. Percival Albert",22.0,Male,Crew,Engineering,Trimmer,Not applicable,True
"Blake, Mr. Thomas",36.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Blaney, Mr. James",29.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Blann, Mr. Eustace Horatius",21.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Bott, Mr. W.",44.0,Male,Crew,Engineering,Greaser,Not applicable,False
"Bradley, Mr. Patrick Joseph",39.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Brewer, Mr. Henry ""Harry""",30.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Briant, Mr. Albert",34.0,Male,Crew,Engineering,Greaser,Not applicable,False
"Brooks, Mr. J.",25.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Brown, Mr. John",25.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Brown, Mr. Joseph James",25.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Burroughs, Mr. Arthur",35.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Burton, Mr. Edward John",32.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Butt, Mr. William John",30.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Calderwood, Mr. Hugh",30.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Canner, Mr. J.",40.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Carr, Mr. Richard Stephen",37.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Carter, Mr. James",46.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Casey, Mr. T.",28.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Castleman, Mr. Edward",37.0,Male,Crew,Engineering,Greaser,Not applicable,False
"Cavell, Mr. George Henry",22.0,Male,Crew,Engineering,Trimmer,Not applicable,True
"Cherrett, Mr. William Victor",24.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Chisnall, Mr. George Alexander",36.0,Male,Crew,Engineering,Boilermaker,Not applicable,False
"Chorley, Mr. John",25.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Clark, Mr. William",39.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
"Coe, Mr. Harry",21.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Collins, Mr. Samuel",35.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
"Combes, Mr. George",21.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
"Cooper, Mr. Harry",26.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Cooper, Mr. James",25.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Copperthwaite, Mr. B.",22.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Corcoran, Mr. Dennis",33.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Cotton, Mr. A.",26.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Couch, Mr. Joseph Henry",45.0,Male,Crew,Engineering,Greaser,Not applicable,False
"Couper, Mr. Robert",30.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
"Coy, Mr. Francis Ernest George",26.0,Male,Crew,Engineering,Junior Assistant 3rd Engineer,Not applicable,False
"Crabb, Mr. H.",23.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Creese, Mr. Henry Philip",44.0,Male,Crew,Engineering,Deck Engineer,Not applicable,False
"Crimmins, Mr. James",21.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
"Cross, Mr. W.",39.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Cunningham, Mr. B.",30.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Curtis, Mr. Arthur",25.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Davies, Mr. Thomas",33.0,Male,Crew,Engineering,Leading Fireman,Not applicable,False
"Dawson, Mr. Joseph[17]",23.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Diaper, Mr. J.",25.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
"Dickson, Mr. W.",36.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Dilley, Mr. John",30.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
"Dillon, Mr. Thomas Patrick",25.0,Male,Crew,Engineering,Trimmer,Not applicable,True
"Dodd, Mr. Edward Charles",38.0,Male,Crew,Engineering,Junior 3rd Engineer,Not applicable,False
"Dodds, Mr. Henry Watson",27.0,Male,Crew,Engineering,Junior Assistant 4th Engineer,Not applicable,False
"Doel, Mr. Frederick",22.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
"Dore, Mr. A.",22.0,Male,Crew,Engineering,Trimmer,Not applicable,True
"Doyle, Mr. Laurence",27.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Duffy, Mr. William Luke",28.0,Male,Crew,Engineering,Writer/Engineer's Clerk,Not applicable,False
"Dyer, Mr. Henry Ryland",24.0,Male,Crew,Engineering,Senior Assistant 4th Engineer,Not applicable,False
"Dymond, Mr. Frank",25.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
"Eagle, Mr. Alfred James",22.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Eastman, Mr. Charles",44.0,Male,Crew,Engineering,Greaser,Not applicable,False
"Elliott, Mr. Everett Edward",23.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Ervine, Mr. Albert George",18.0,Male,Crew,Engineering,Assistant Electrician,Not applicable,False
"Evans, Mr. Williams",32.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Farquharson, Mr. William Edward",39.0,Male,Crew,Engineering,Senior 2nd Engineer,Not applicable,False
"Fay, Mr. Thomas",30.0,Male,Crew,Engineering,Greaser,Not applicable,False
"Ferrary, Mr. Anton",33.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Ferris, Mr. William",38.0,Male,Crew,Engineering,Leading Fireman,Not applicable,False
"Fitzpatrick, Mr. Charles W.N.",30.0,Male,Crew,Engineering,Mess Steward,Not applicable,True
"Flarty, Mr. Edward",52.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
Ford. Mr. H.,22.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Ford, Mr. Thomas",30.0,Male,Crew,Engineering,Leading Fireman,Not applicable,False
"Foster, Mr. A.",37.0,Male,Crew,Engineering,Engineering Storekeeper,Not applicable,False
"Fraser, Mr. James",29.0,Male,Crew,Engineering,Junior Assistant Third Engineer,Not applicable,False
"Fraser, Mr. James",29.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Fredricks, Mr. Walter Francis",20.0,Male,Crew,Engineering,Trimmer,Not applicable,True
"Fryer, Mr. Albert Ernest",26.0,Male,Crew,Engineering,Trimmer,Not applicable,True
"Geer, Mr. Alfred Ernest",24.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Godley, Mr. George",38.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,True
"Godwin, Mr. Frederick Charles",36.0,Male,Crew,Engineering,Greaser,Not applicable,False
"Golder, Mr. Martin W.",32.0,Male,Crew,Engineering,Fireman/Stoker,Not applicable,False
"Gordon, Mr. J.",29.0,Male,Crew,Engineering,Trimmer,Not applicable,False
"Goree, Mr. Frank",28.0,Male,Crew,Engineering,Greaser,Not applicable,False
"Gosling, Mr. Bertram James",22.0,Male,Crew,Engineering,Trimmer,Not applicable,False
